,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(prop),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(prop),Final U/Th_mean,Approx_U_PPM_mean,Approx_Th_PPM_mean,Approx_Pb_PPM_mean,,Si29_ppm_mean,Si29_ppm_2SE(int),Ti49_ppm_mean,Ti49_ppm_2SE(int),Zr90_ppm_mean,Zr90_ppm_2SE(int),Zr91_ppm_mean,Zr91_ppm_2SE(int),La139_ppm_mean,La139_ppm_2SE(int),Ce140_ppm_mean,Ce140_ppm_2SE(int),Pr141_ppm_mean,Pr141_ppm_2SE(int),Nd146_ppm_mean,Nd146_ppm_2SE(int),Sm147_ppm_mean,Sm147_ppm_2SE(int),Eu153_ppm_mean,Eu153_ppm_2SE(int),Gd157_ppm_mean,Gd157_ppm_2SE(int),Dy163_ppm_mean,Dy163_ppm_2SE(int),Yb172_ppm_mean,Yb172_ppm_2SE(int),Lu175_ppm_mean,Lu175_ppm_2SE(int),Pb204_ppm_mean,Pb204_ppm_2SE(int),Pb206_ppm_mean,Pb206_ppm_2SE(int),Pb207_ppm_mean,Pb207_ppm_2SE(int),Pb208_ppm_mean,Pb208_ppm_2SE(int),Th232_ppm_mean,Th232_ppm_2SE(int),U238_ppm_mean,U238_ppm_2SE(int)
093 - 42.d,0.059050421,0.000531887,566.6540647,19.54067366,11.45288862,0.101483388,6.022920926,4235.280572,694.0405831,1825.837475,,0,0,30,8,480000,0,473404,2737,0,0,1,0,0,0,0,0,1,1,0,0,9,2,41,3,170,8,35,2,-22,41,387,15,385,15,2090,110,806,36,4841,153
093 - 43.d,0.058613655,0.000831143,549.8773998,31.44905485,11.57738201,0.100926334,6.193294869,3685.156879,586.8464856,1521.363047,,0,0,7,6,480000,0,475490,2602,0,0,2,0,0,0,1,1,1,1,0,0,9,2,41,3,148,8,29,2,26,50,375,8,370,7,1891,87,746,20,4638,85
093 - 44.d,0.058379364,0.000788569,540.0501952,29.43513536,11.19477244,0.123700703,5.736542261,2722.789683,466.8535123,1216.604224,,0,0,11,4,480000,0,478490,2208,0,0,2,0,0,0,0,0,1,0,0,0,8,1,26,2,112,5,22,1,25,50,245,7,240,7,1327,54,522,17,3007,94
093 - 45.d,0.108957093,0.000848912,1780.772846,14.23284199,4.267031624,0.071679199,8.222538028,2497.514656,298.9783923,1790.425389,,0,0,14,5,480000,0,479690,3632,0,0,1,0,0,0,1,1,1,0,0,0,3,1,19,2,143,7,36,1,8,58,521,11,955,20,1722,57,302,7,2493,30
093 - 46.d,0.086805934,0.00137985,1353.63742,30.46501858,7.187795395,0.113476417,7.310374034,2287.560152,308.2183436,1039.106524,,0,0,17,5,480000,0,478628,3906,0,0,1,0,0,0,1,0,0,0,0,0,6,1,20,2,90,5,20,1,-45,42,276,2,403,5,987,42,305,6,2245,30
093 - 48.d,0.057883159,0.000665646,522.1625941,25.24871777,12.0099024,0.064958388,5.957271662,4177.277571,689.7199965,1742.20247,,0,0,7,3,480000,0,477727,2624,0,0,3,0,0,0,2,1,2,1,0,0,12,2,50,3,178,7,35,1,-2,42,365,7,355,8,1932,73,801,17,4809,63
093 - 50.d,0.062394152,0.000817839,683.9143508,28.37643342,10.65115907,0.176875119,5.966370523,2483.635784,409.0513353,1115.275741,,0,0,13,4,480000,0,478034,2551,0,0,2,0,0,0,1,1,1,1,0,0,11,2,34,2,115,5,24,1,52,57,241,5,253,7,1207,38,468,6,2822,40
093 - 51.d,0.056796483,0.000711746,480.6827471,27.58906719,11.24230784,0.1741926,6.567988302,2389.969063,359.7495252,912.7133682,,0,0,12,4,480000,0,479788,3608,0,0,1,0,0,0,0,0,1,1,0,0,6,1,23,2,88,4,19,1,-24,43,202,6,193,6,907,37,380,4,2526,37
093 - 52.d,0.058784716,0.00060733,556.3906723,22.62118556,11.56531033,0.094831592,4.656702691,4852.589066,1030.049904,2761.431498,,0,0,12,5,480000,0,478113,2742,0,0,3,0,0,0,1,0,2,1,0,0,15,2,66,5,188,8,36,2,65,47,443,25,435,24,3017,206,1201,77,5620,291
093 - 53.d,0.058434792,0.000587166,543.4324852,22.20377514,11.35653322,0.073877092,5.153932389,5706.320899,1089.17668,2848.865234,,0,0,13,4,480000,0,478506,1918,0,0,2,0,0,0,1,0,2,1,0,0,15,2,63,3,208,6,41,2,3,52,512,7,499,9,3018,69,1221,19,6430,112
093 - 54.d,0.058221541,0.00076594,534.2536067,28.90341488,10.76768558,0.116357235,5.32740484,2918.554509,544.1951359,1476.30293,,0,0,14,4,480000,0,479799,2678,0,0,2,0,0,0,0,0,1,1,0,0,7,1,35,3,136,7,27,1,39,51,269,7,261,8,1539,80,596,32,3234,150
093 - 55.d,0.058395728,0.000590134,541.9921727,21.9101403,11.83949249,0.062135485,6.047144809,4658.062829,759.1744866,1924.420338,,0,0,11,4,480000,0,476702,2494,0,0,2,0,0,0,1,0,1,0,0,0,8,1,30,2,104,4,22,1,47,50,401,4,390,6,2051,47,847,8,5244,41
093 - 56.d,0.090603599,0.001237682,1434.897403,26.59108296,7.240399409,0.193089861,8.779686912,2141.321328,245.8278534,951.0884296,,0,0,11,5,480000,0,479046,2813,1,0,12,1,1,0,6,2,3,1,1,0,5,1,26,2,233,11,57,2,40,54,321,12,485,22,1055,58,286,12,2547,60
093 - 57.d,0.088063263,0.001647429,1381.270928,36.41547383,6.921583498,0.102241598,7.007496249,2003.379607,282.7217977,923.8431307,,0,0,15,7,480000,0,478269,5886,0,0,1,0,0,0,1,1,1,1,0,0,4,2,18,3,82,7,20,1,7,63,254,4,372,9,880,37,280,6,2014,26
